destination,latitude,longitude,origin,prognumber,route,stopid,SEGMENT
Wadelai Park,53.37589947,-6.2636177360000005,Sandyford Business District,54,11,25,24_25
Wadelai Park,53.37943896,-6.266585261,Sandyford Business District,55,11,27,25_27
Wadelai Park,53.38157864,-6.2660022710000005,Sandyford Business District,56,11,28,27_28
Wadelai Park,53.38348825,-6.265669101,Sandyford Business District,57,11,29,28_29
Wadelai Park,53.38496648,-6.265338406000001,Sandyford Business District,58,11,4680,29_4680
Wadelai Park,53.38603323,-6.268858077000001,Sandyford Business District,59,11,31,4680_31
Wadelai Park,53.38619557,-6.271377201,Sandyford Business District,60,11,32,31_32
Wadelai Park,53.38871792,-6.271771141,Sandyford Business District,61,11,33,32_33
Wadelai Park,,,Sandyford Business District,62,11,7220,33_7220
Wadelai Park,53.38637271,-6.274301663999999,Sandyford Business District,63,11,6122,7220_6122
Parnell Sq.,53.27787197,-6.289533367000001,Whitechurch,1,116,2955,start
Parnell Sq.,53.27783383,-6.288755104,Whitechurch,2,116,7067,2955_7067
Parnell Sq.,53.27812019,-6.286164353999999,Whitechurch,3,116,2956,7067_2956
Parnell Sq.,53.28030415,-6.28427735,Whitechurch,4,116,2965,2956_2965
Parnell Sq.,53.2813395,-6.276917275,Whitechurch,5,116,2967,2965_2967
Parnell Sq.,53.28032933,-6.273568645,Whitechurch,6,116,2968,2967_2968
Parnell Sq.,53.27940273,-6.270411749,Whitechurch,7,116,2969,2968_2969
Parnell Sq.,53.27817063,-6.267267347000001,Whitechurch,8,116,2970,2969_2970
Parnell Sq.,53.27765231,-6.263149456,Whitechurch,9,116,4988,2970_4988
Parnell Sq.,53.28082534,-6.260696242000001,Whitechurch,10,116,2853,4988_2853
Parnell Sq.,53.28072154,-6.257281152000001,Whitechurch,11,116,2854,2853_2854
Parnell Sq.,53.27918962,-6.255169005,Whitechurch,12,116,2855,2854_2855
Parnell Sq.,53.27719148,-6.25498048,Whitechurch,13,116,2856,2855_2856
Parnell Sq.,53.27477027,-6.255364017000001,Whitechurch,14,116,2857,2856_2857
Parnell Sq.,53.27518603,-6.252453042999999,Whitechurch,15,116,2858,2857_2858
Parnell Sq.,53.276990500000004,-6.248630505,Whitechurch,16,116,2859,2858_2859
Parnell Sq.,53.27816728,-6.2461380239999995,Whitechurch,17,116,2860,2859_2860
Parnell Sq.,53.27957834,-6.244910506,Whitechurch,18,116,2861,2860_2861
Parnell Sq.,53.28441153,-6.236823314,Whitechurch,19,116,2829,2861_2829
Parnell Sq.,53.28235912,-6.233578355,Whitechurch,20,116,2830,2829_2830
Parnell Sq.,53.27905763,-6.231570034,Whitechurch,21,116,2831,2830_2831
Parnell Sq.,53.27725094,-6.23035499,Whitechurch,22,116,2832,2831_2832
Parnell Sq.,53.275845499999996,-6.227713897999999,Whitechurch,23,116,4349,2832_4349
Parnell Sq.,53.2761924,-6.223845715,Whitechurch,24,116,3184,4349_3184
Parnell Sq.,53.27630688,-6.217063002000001,Whitechurch,25,116,449,3184_449
Parnell Sq.,53.27509405,-6.213499669,Whitechurch,26,116,450,449_450
Parnell Sq.,53.27673392,-6.207777903999999,Whitechurch,27,116,3181,450_3181
Parnell Sq.,53.2783061,-6.207727113,Whitechurch,28,116,451,3181_451
Parnell Sq.,53.28021817,-6.2105564929999995,Whitechurch,29,116,447,451_447
Parnell Sq.,53.28357696,-6.209171297,Whitechurch,30,116,5045,447_5045
Parnell Sq.,53.28728248,-6.208131348999999,Whitechurch,31,116,4460,5045_4460
Parnell Sq.,53.28858628,-6.207566787999999,Whitechurch,32,116,453,4460_453
Parnell Sq.,53.28897261,-6.205165619,Whitechurch,33,116,4477,453_4477
Parnell Sq.,53.28846936,-6.200401779,Whitechurch,34,116,3321,4477_3321
Parnell Sq.,53.29081171,-6.19778321,Whitechurch,35,116,4727,3321_4727
Parnell Sq.,53.29333789,-6.201982289,Whitechurch,36,116,4728,4727_4728
Parnell Sq.,53.294799499999996,-6.203541111,Whitechurch,37,116,461,4728_461
Parnell Sq.,53.29809576,-6.204573002999999,Whitechurch,38,116,2068,461_2068
Parnell Sq.,53.29977469,-6.205642853,Whitechurch,39,116,2069,2068_2069
Parnell Sq.,53.30306607,-6.208145702,Whitechurch,40,116,2070,2069_2070
Parnell Sq.,53.30552676,-6.21159902,Whitechurch,41,116,2084,2070_2084
